Date/Time,Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1:Zone Other Equipment Total Heating Rate [W](Hourly),BLOCK1:ZONE1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),BLOCK1:ZONE1_WALL_E:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_N:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_W:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_S:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_FLOOR:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_S_WIN_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_S_WIN_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1:Zone Mean Air Temperature [C](Hourly:ON),BLOCK1:ZONE1:Zone Infiltration Air Change Rate [ach](Hourly),BLOCK1:ZONE1:Zone Air System Sensible Heating Rate [W](Hourly),BLOCK1:ZONE1:Zone Air System Sensible Cooling Rate [W](Hourly),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 01/01  01:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0000000000001,0.5383178681561716,1623.9531271907698,0.0,720000.0,0.0,5846231.257886601,0.0 
 01/01  02:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000008,0.5361432733354699,1613.0920554795155,0.0,720000.0,0.0,5807131.399726253,0.0 
 01/01  03:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.536282357411577,1622.822644498014,0.0,720000.0,0.0,5842161.520192849,0.0 
 01/01  04:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.5363641917346731,1630.3758399965537,0.0,720000.0,0.0,5869353.023987593,0.0 
 01/01  05:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999999999999998,0.5364059715605432,1634.2227349781093,0.0,720000.0,0.0,5883201.845921192,0.0 
 01/01  06:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.5367095158256342,1632.1581463575456,0.0,720000.0,0.0,5875769.326887166,0.0 
 01/01  07:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.5316957221075137,1521.4376602108646,0.0,720000.0,0.0,5477175.576759116,0.0 
 01/01  08:00:00,27.0,17.0,200.0,293.6165568034735,47.052178383824337,13.909298301551564,13.909298301551564,37.71163472101395,5.723796515147173,28.695788991716026,37.71163472101395,37.71163472101395,20.0,0.5315507984266392,1371.84235786278,0.0,720000.0,0.0,4938632.488306009,0.0 
 01/01  09:00:00,93.5,55.0,200.0,948.5308474745341,124.78804348693612,48.22218566765694,48.22218566765694,119.65165013069975,20.89559176832603,104.84686701787368,119.65165013069975,119.65165013069975,20.0,0.5303682551961231,924.8574237806765,0.0,720000.0,0.0,3329486.7256104357,0.0 
 01/01  10:00:00,107.25,198.5,200.0,2242.4778027724807,191.3259661489743,64.082513831252,64.082513831252,269.91735773256019,35.54714547644487,179.9588274615157,269.91735773256019,269.91735773256019,20.0,0.5248006666618474,354.46789554932595,0.0,720000.0,0.0,1276084.4239775735,0.0 
 01/01  11:00:00,83.75,792.75,200.0,7172.736427336566,369.0494836334768,84.86411138004798,84.86411138004798,835.6376803120636,82.6159057782414,424.20850129505097,835.6376803120636,835.6376803120636,24.887896644247236,0.5302093773943122,0.0,176.1689562707891,720000.0,633305.9241682007,0.0,0.0 
 01/01  12:00:00,58.75,934.75,200.0,8231.01252875097,171.20108831545736,85.3382916504244,85.3382916504244,947.486550082446,96.37506166715426,498.2241755673791,947.486550082446,947.486550082446,26.973138966585489,0.5325666961980171,0.0,2635.4792430353229,720000.0,9434869.91917856,0.0,0.0 
 01/01  13:00:00,34.5,938.75,200.0,7948.310668076179,68.30690377704338,68.30690377704338,217.21021667860695,911.7720286689284,90.04695176530123,469.6152536561365,911.7720286689284,911.7720286689284,26.998846172609029,0.5315557254686388,0.0,4664.471274572911,720000.0,16789712.100885415,0.0,0.0 
 01/01  14:00:00,14.5,907.75,200.0,7034.739156981459,47.07108105004127,47.07108105004127,400.19375335154975,808.3229476853978,73.04500262116221,386.308029503095,808.3229476853978,808.3229476853978,26.99984889203421,0.5298050558702121,0.0,5102.154003336046,720000.0,18367429.026377605,0.0,0.0 
 01/01  15:00:00,3.0,787.25,200.0,5284.844488825608,25.236905946291885,25.236905946291885,489.720529700568,614.0365504221156,45.754209237438548,248.51795591968318,614.0365504221156,614.0365504221156,26.999981863532385,0.5301040905660188,0.0,4411.944589702498,720000.0,15882961.791520318,0.0,0.0 
 01/01  16:00:00,3.25,523.0,200.0,2912.841662076279,11.326331362780734,11.326331362780734,407.629459207478,350.86076377264797,17.29136359533488,100.08488480360853,350.86076377264797,350.86076377264797,26.999998446850556,0.5310663796126423,0.0,2935.5894892998237,720000.0,10568118.993509775,0.0,0.0 
 01/01  17:00:00,6.5,39.5,200.0,268.77759844089555,4.157798398130802,4.157798398130802,53.072573581186158,34.85186533936785,1.5189084032195557,8.631816110135056,34.85186533936785,34.85186533936785,26.999999958957838,0.5352657221227698,0.0,790.168072614037,720000.0,2844604.984583645,0.0,0.0 
 01/01  18:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.857968999240585,0.5355318903066222,0.0,0.0,720000.0,0.0,0.0,0.0 
 01/01  19:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.114521017041527,0.5348206284406688,0.0,0.0,720000.0,0.0,0.0,0.0 
 01/01  20:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.655432529584986,0.53258104744523,39.477573658391268,0.0,720000.0,0.0,141725.48248850436,0.0 
 01/01  21:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.00000028198189,0.5332203053754154,519.1235658957648,0.0,720000.0,0.0,1868844.4912068104,0.0 
 01/01  22:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.00000000383278,0.5350604163187499,972.9394131033407,0.0,720000.0,0.0,3502581.88169723,0.0 
