Date/Time,BLOCK1:ZONEA:Zone Mean Air Temperature [C](Hourly),BLOCK1:ZONEB:Zone Mean Air Temperature [C](Hourly),BLOCK1:ZONEC:Zone Mean Air Temperature [C](Hourly),BLOCK1:ZONEA:Zone Air System Sensible Heating Energy [J](Hourly),BLOCK1:ZONEA:Zone Air System Sensible Cooling Energy [J](Hourly),BLOCK1:ZONEB:Zone Air System Sensible Heating Energy [J](Hourly),BLOCK1:ZONEB:Zone Air System Sensible Cooling Energy [J](Hourly),BLOCK1:ZONEC:Zone Air System Sensible Heating Energy [J](Hourly),BLOCK1:ZONEC:Zone Air System Sensible Cooling Energy [J](Hourly) 
 01/01  01:00:00,15.224305398451737,13.637848173904107,9.291530300209505,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,15.155165936437065,13.65651271157762,9.34360854008061,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,15.272647934395483,13.742341226129544,9.47443392186277,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,15.334023343574767,13.776495193336047,9.546748457138659,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,15.36439262408299,13.78944747169031,9.58620890767456,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,15.380301900587498,13.794117854191466,9.607754407308729,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,15.633656202818657,13.949000427308342,9.765334927864659,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,16.38707841971671,14.406933348904833,10.213128368875776,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  09:00:00,16.846750356508886,14.662595280223084,10.473959017663786,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  10:00:00,17.59429837552895,15.103604576249058,10.882375228695326,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  11:00:00,18.939672715688159,15.925442663736647,11.592014953315737,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  12:00:00,20.167683241698709,16.662263812049816,12.233798029330416,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  13:00:00,21.31332625904161,17.362119934710767,12.8194222879399,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:00:00,22.29829661840799,18.000588965609773,13.312008675818215,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,23.196136871148569,18.650573169332917,13.757029771233484,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,23.70756601093304,19.026228871816323,14.02227112465497,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,23.728608915338538,19.06039332362161,14.023773372950897,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  18:00:00,23.083073435428717,18.612322138655754,13.64076496123814,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  19:00:00,22.136782230296747,17.930417500614344,13.087271661371539,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  20:00:00,20.78759775823171,16.997649293850907,12.308805750272015,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  21:00:00,19.642985808479606,16.263532896835096,11.673085260541808,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  22:00:00,18.70171163780026,15.683280873745986,11.169593593608769,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,17.773139409585704,15.128328822276144,10.681213423092121,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,16.64358972256329,14.459842095601659,10.069330700073842,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  01:00:00,14.761746257608383,13.344501836997877,9.000852956501016,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  02:00:00,13.02148467593079,12.344659160953878,8.038623318492605,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,11.379177951316669,11.418589936135265,7.151407015185184,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  04:00:00,9.851747388755474,10.574619206005352,6.3455513912032519,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  05:00:00,8.61755918917277,9.918811727750672,5.726434134122891,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  06:00:00,7.444938102968506,9.295305184074899,5.135507778800118,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  07:00:00,6.326712101757835,8.711082936687767,4.578886789126112,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  08:00:00,5.477262840836293,8.298106040068476,4.184605039627298,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  09:00:00,4.845068196555063,8.022992226660982,3.9210251697782887,0.0,0.0,0.0,0.0,0.0,0.0 
