"ja-JP"
"DesignBuilder - Model data grid view","V1","2021-09-21 17:02:07"
"3fe2c9f0-dfdb-473f-8dcb-98fad900487a","f9f17e17-bb6b-48d0-9f62-65cafeb4b934","WholeBuildingTest","usSI"
"ModelObjectId","Zone","InheritedZoneHandle","ParentId","Block","Title","MechVentSetPointTemperature","MechVentTemperatureDifference","MinFreshAir","MinFreshAirPerArea","MechanicalVentilationOn","MechanicalVentilationRateType","MechanicalVentilationValue","EconomiserType","EconomiserMaxACH","EconomiserLockout","EconomiserUpperTemperature","EconomiserLowerTemperature","EconomiserUpperEnthalpy","HeatRecoveryOn","HeatRecoveryType","SensibleHeatRecoveryEffectiveness","LatentHeatRecoveryEffectiveness"
"Model Object Identifier","Zone","Inherited Zone Handle","Parent Identifier","Block","Identity - Identity - Name","Activity - Environmental Control > Ventilation Setpoint Temperatures > Mechanical Ventilation - Mech vent cooling (°C)","Activity - Environmental Control > Ventilation Setpoint Temperatures > Mechanical Ventilation - Delta T (deltaC)","Activity - Minimum Fresh Air - Fresh air (l/s-person)","Activity - Minimum Fresh Air - Mech vent per area (l/s-m2)","HVAC - Mechanical Ventilation - On","HVAC - Mechanical Ventilation - Outside air definition method","HVAC - Mechanical Ventilation - Outside air (ac/h)","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Type","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Max outdoor air rate when economiser operates (ac/h)","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Lockout","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Upper temperature limit (°C)","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Lower temperature limit (°C)","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Upper enthalpy limit (J/kg)","HVAC - Mechanical Ventilation > Heat Recovery - On","HVAC - Mechanical Ventilation > Heat Recovery - Heat recovery type","HVAC - Mechanical Ventilation > Heat Recovery - Sensible heat recovery effectiveness","HVAC - Mechanical Ventilation > Heat Recovery - Latent heat recovery effectiveness"
"68","10XOffice2","0","0","Block 1","10XOffice2","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"77","02XLobby","0","0","Block 1","02XLobby","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"89","07XBreakRoom","0","0","Block 1","07XBreakRoom","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"97","06XDressing2","0","0","Block 1","06XDressing2","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"104","NXWC","0","0","Block 1","NXWC","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"113","NXVestibule","0","0","Block 1","NXVestibule","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"122","04XCntrlMntrngRm","0","0","Block 1","04XCntrlMntrngRm","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"131","05XDressing1","0","0","Block 1","05XDressing1","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"139","08XVending","0","0","Block 1","08XVending","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
