Time,1F:01XCORRIDOR:WINTER DESIGN DAY:Des Heat Load [W],1F:01XCORRIDOR:SUMMER DESIGN DAY:Des Sens Cool Load [W],1F:01XCORRIDOR:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],1F:01XCORRIDOR:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],1F:02XLOBBY:WINTER DESIGN DAY:Des Heat Load [W],1F:02XLOBBY:SUMMER DESIGN DAY:Des Sens Cool Load [W],1F:02XLOBBY:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],1F:02XLOBBY:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],1F:03XEVHALL:WINTER DESIGN DAY:Des Heat Load [W],1F:03XEVHALL:SUMMER DESIGN DAY:Des Sens Cool Load [W],1F:03XEVHALL:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],1F:03XEVHALL:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],1F:04XCNTRLMNTRNGRM:WINTER DESIGN DAY:Des Heat Load [W],1F:04XCNTRLMNTRNGRM:SUMMER DESIGN DAY:Des Sens Cool Load [W],1F:04XCNTRLMNTRNGRM:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],1F:04XCNTRLMNTRNGRM:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],1F:05XDRESSING1:WINTER DESIGN DAY:Des Heat Load [W],1F:05XDRESSING1:SUMMER DESIGN DAY:Des Sens Cool Load [W],1F:05XDRESSING1:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],1F:05XDRESSING1:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],1F:06XDRESSING2:WINTER DESIGN DAY:Des Heat Load [W],1F:06XDRESSING2:SUMMER DESIGN DAY:Des Sens Cool Load [W],1F:06XDRESSING2:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],1F:06XDRESSING2:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],1F:07XBREAKROOM:WINTER DESIGN DAY:Des Heat Load [W],1F:07XBREAKROOM:SUMMER DESIGN DAY:Des Sens Cool Load [W],1F:07XBREAKROOM:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],1F:07XBREAKROOM:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],1F:08XVENDING:WINTER DESIGN DAY:Des Heat Load [W],1F:08XVENDING:SUMMER DESIGN DAY:Des Sens Cool Load [W],1F:08XVENDING:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],1F:08XVENDING:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],1F:09XOFFICE1:WINTER DESIGN DAY:Des Heat Load [W],1F:09XOFFICE1:SUMMER DESIGN DAY:Des Sens Cool Load [W],1F:09XOFFICE1:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],1F:09XOFFICE1:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],1F:10XOFFICE2:WINTER DESIGN DAY:Des Heat Load [W],1F:10XOFFICE2:SUMMER DESIGN DAY:Des Sens Cool Load [W],1F:10XOFFICE2:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],1F:10XOFFICE2:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],2X6F:01XCORRIDOR:WINTER DESIGN DAY:Des Heat Load [W],2X6F:01XCORRIDOR:SUMMER DESIGN DAY:Des Sens Cool Load [W],2X6F:01XCORRIDOR:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],2X6F:01XCORRIDOR:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],2X6F:02XVENDING:WINTER DESIGN DAY:Des Heat Load [W],2X6F:02XVENDING:SUMMER DESIGN DAY:Des Sens Cool Load [W],2X6F:02XVENDING:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],2X6F:02XVENDING:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],2X6F:03XEVHALL:WINTER DESIGN DAY:Des Heat Load [W],2X6F:03XEVHALL:SUMMER DESIGN DAY:Des Sens Cool Load [W],2X6F:03XEVHALL:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],2X6F:03XEVHALL:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],2X6F:04X1XOFFICENP:WINTER DESIGN DAY:Des Heat Load [W],2X6F:04X1XOFFICENP:SUMMER DESIGN DAY:Des Sens Cool Load [W],2X6F:04X1XOFFICENP:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],2X6F:04X1XOFFICENP:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],2X6F:04X2XOFFICENEP:WINTER DESIGN DAY:Des Heat Load [W],2X6F:04X2XOFFICENEP:SUMMER DESIGN DAY:Des Sens Cool Load [W],2X6F:04X2XOFFICENEP:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],2X6F:04X2XOFFICENEP:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],2X6F:04X3XOFFICENWP:WINTER DESIGN DAY:Des Heat Load [W],2X6F:04X3XOFFICENWP:SUMMER DESIGN DAY:Des Sens Cool Load [W],2X6F:04X3XOFFICENWP:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],2X6F:04X3XOFFICENWP:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],2X6F:04X4XOFFICENI:WINTER DESIGN DAY:Des Heat Load [W],2X6F:04X4XOFFICENI:SUMMER DESIGN DAY:Des Sens Cool Load [W],2X6F:04X4XOFFICENI:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],2X6F:04X4XOFFICENI:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],2X6F:05X1XOFFICESP:WINTER DESIGN DAY:Des Heat Load [W],2X6F:05X1XOFFICESP:SUMMER DESIGN DAY:Des Sens Cool Load [W],2X6F:05X1XOFFICESP:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],2X6F:05X1XOFFICESP:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],2X6F:05X2XOFFICESWP:WINTER DESIGN DAY:Des Heat Load [W],2X6F:05X2XOFFICESWP:SUMMER DESIGN DAY:Des Sens Cool Load [W],2X6F:05X2XOFFICESWP:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],2X6F:05X2XOFFICESWP:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],2X6F:05X3XOFFICESI:WINTER DESIGN DAY:Des Heat Load [W],2X6F:05X3XOFFICESI:SUMMER DESIGN DAY:Des Sens Cool Load [W],2X6F:05X3XOFFICESI:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],2X6F:05X3XOFFICESI:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],7F:01XCORRIDOR:WINTER DESIGN DAY:Des Heat Load [W],7F:01XCORRIDOR:SUMMER DESIGN DAY:Des Sens Cool Load [W],7F:01XCORRIDOR:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],7F:01XCORRIDOR:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],7F:02XVENDING:WINTER DESIGN DAY:Des Heat Load [W],7F:02XVENDING:SUMMER DESIGN DAY:Des Sens Cool Load [W],7F:02XVENDING:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],7F:02XVENDING:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],7F:03XEVHALL:WINTER DESIGN DAY:Des Heat Load [W],7F:03XEVHALL:SUMMER DESIGN DAY:Des Sens Cool Load [W],7F:03XEVHALL:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],7F:03XEVHALL:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],7F:04XOFFICE1:WINTER DESIGN DAY:Des Heat Load [W],7F:04XOFFICE1:SUMMER DESIGN DAY:Des Sens Cool Load [W],7F:04XOFFICE1:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],7F:04XOFFICE1:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s],7F:05XOFFICE2:WINTER DESIGN DAY:Des Heat Load [W],7F:05XOFFICE2:SUMMER DESIGN DAY:Des Sens Cool Load [W],7F:05XOFFICE2:WINTER DESIGN DAY:Des Heat Mass Flow [kg/s],7F:05XOFFICE2:SUMMER DESIGN DAY:Des Cool Mass Flow [kg/s]
00:15:00,8.069979E+03,1.475696E+03,2.787750E-01,1.316338E-01,3.983385E+03,8.789796E+02,1.376053E-01,7.840596E-02,1.046965E+03,1.711099E+02,3.616705E-02,1.526320E-02,4.727124E+02,2.234586E+03,1.633008E-02,1.993325E-01,4.053020E+02,1.269319E+02,1.400125E-02,1.132249E-02,5.572081E+02,1.806903E+02,1.924883E-02,1.611781E-02,6.266486E+02,2.705259E+02,2.164773E-02,2.413127E-02,1.360384E+03,3.429752E+02,4.699403E-02,3.059387E-02,1.123741E+04,5.454953E+03,3.881969E-01,4.865884E-01,8.219056E+03,4.640411E+03,2.839264E-01,4.139313E-01,1.747398E+04,2.993527E+03,6.036322E-01,2.670257E-01,3.811856E+03,9.976119E+02,1.316786E-01,8.898840E-02,2.994566E+03,4.174772E+02,1.034455E-01,3.723942E-02,1.466679E+04,9.605923E+03,5.066457E-01,8.568624E-01,7.432673E+03,4.267971E+03,2.567454E-01,3.807108E-01,7.432847E+03,4.574724E+03,2.567514E-01,4.080741E-01,5.815760E+03,9.064328E+03,2.009046E-01,8.085484E-01,1.311529E+04,9.023614E+03,4.530484E-01,8.049204E-01,7.302034E+03,4.801718E+03,2.522309E-01,4.283229E-01,2.158779E+03,8.554181E+03,7.457522E-02,7.630430E-01,5.075187E+03,1.733932E+03,1.753207E-01,1.546691E-01,1.017471E+03,3.919424E+02,3.514812E-02,3.496188E-02,7.768386E+02,2.058286E+02,2.683553E-02,1.836018E-02,1.226931E+04,1.102962E+04,4.238411E-01,9.838609E-01,8.913679E+03,9.231581E+03,3.079218E-01,8.234726E-01
00:30:00,8.076516E+03,1.448039E+03,2.790008E-01,1.291668E-01,3.987448E+03,8.666808E+02,1.377457E-01,7.730889E-02,1.047528E+03,1.675507E+02,3.618651E-02,1.494571E-02,4.733160E+02,2.229439E+03,1.635093E-02,1.988733E-01,4.065432E+02,1.250711E+02,1.404411E-02,1.115650E-02,5.582442E+02,1.783455E+02,1.928460E-02,1.590865E-02,6.286994E+02,2.677488E+02,2.171855E-02,2.388353E-02,1.361448E+03,3.381642E+02,4.703079E-02,3.016472E-02,1.124526E+04,5.422889E+03,3.884679E-01,4.837283E-01,8.221358E+03,4.614414E+03,2.840059E-01,4.116123E-01,1.750443E+04,2.894474E+03,6.046844E-01,2.581901E-01,3.816598E+03,9.773737E+02,1.318425E-01,8.718314E-02,2.997662E+03,4.029205E+02,1.035525E-01,3.594096E-02,1.468543E+04,9.528039E+03,5.072898E-01,8.499150E-01,7.440273E+03,4.227127E+03,2.570082E-01,3.770674E-01,7.440448E+03,4.534674E+03,2.570143E-01,4.045016E-01,5.840021E+03,8.971957E+03,2.017427E-01,8.003089E-01,1.313001E+04,8.946898E+03,4.535569E-01,7.980773E-01,7.308398E+03,4.761870E+03,2.524510E-01,4.247684E-01,2.184870E+03,8.473928E+03,7.547654E-02,7.558844E-01,5.080710E+03,1.712400E+03,1.755115E-01,1.527485E-01,1.018354E+03,3.877633E+02,3.517862E-02,3.458910E-02,7.773939E+02,2.027027E+02,2.685472E-02,1.808135E-02,1.228146E+04,1.097887E+04,4.242607E-01,9.793338E-01,8.922004E+03,9.190814E+03,3.082092E-01,8.198362E-01
00:45:00,8.081794E+03,1.421974E+03,2.791832E-01,1.268418E-01,3.990868E+03,8.551219E+02,1.378638E-01,7.627784E-02,1.047972E+03,1.641697E+02,3.620184E-02,1.464412E-02,4.738153E+02,2.224372E+03,1.636818E-02,1.984213E-01,4.075069E+02,1.234753E+02,1.407738E-02,1.101415E-02,5.590548E+02,1.762247E+02,1.931258E-02,1.571946E-02,6.303264E+02,2.653721E+02,2.177474E-02,2.367153E-02,1.362300E+03,3.336071E+02,4.706023E-02,2.975824E-02,1.125220E+04,5.391500E+03,3.887073E-01,4.809282E-01,8.223029E+03,4.588679E+03,2.840635E-01,4.093167E-01,1.752801E+04,2.803364E+03,6.054991E-01,2.500630E-01,3.820280E+03,9.584585E+02,1.319697E-01,8.549590E-02,3.000066E+03,3.893268E+02,1.036356E-01,3.472838E-02,1.470147E+04,9.453123E+03,5.078444E-01,8.432324E-01,7.446706E+03,4.187869E+03,2.572308E-01,3.735655E-01,7.446882E+03,4.495558E+03,2.572368E-01,4.010123E-01,5.861027E+03,8.885034E+03,2.024684E-01,7.925552E-01,1.314255E+04,8.872904E+03,4.539904E-01,7.914769E-01,7.313740E+03,4.722789E+03,2.526358E-01,4.212823E-01,2.207138E+03,8.398667E+03,7.624580E-02,7.491710E-01,5.084973E+03,1.692445E+03,1.756588E-01,1.509685E-01,1.019037E+03,3.838376E+02,3.520224E-02,3.423894E-02,7.778226E+02,1.997634E+02,2.686954E-02,1.781916E-02,1.229220E+04,1.092996E+04,4.246313E-01,9.749710E-01,8.929112E+03,9.151458E+03,3.084546E-01,8.163255E-01
01:00:00,8.086230E+03,1.397085E+03,2.793365E-01,1.246216E-01,3.993836E+03,8.441155E+02,1.379664E-01,7.529606E-02,1.048336E+03,1.609231E+02,3.621444E-02,1.435452E-02,4.742386E+02,2.219358E+03,1.638280E-02,1.979741E-01,4.082780E+02,1.220661E+02,1.410401E-02,1.088845E-02,5.597073E+02,1.742655E+02,1.933511E-02,1.554469E-02,6.316594E+02,2.632732E+02,2.182077E-02,2.348429E-02,1.363008E+03,3.292351E+02,4.708470E-02,2.936825E-02,1.125842E+04,5.360516E+03,3.889220E-01,4.781645E-01,8.224235E+03,4.563255E+03,2.841051E-01,4.070488E-01,1.754699E+04,2.718102E+03,6.061551E-01,2.424576E-01,3.823253E+03,9.405106E+02,1.320725E-01,8.389495E-02,3.002005E+03,3.764616E+02,1.037026E-01,3.358080E-02,1.471565E+04,9.380476E+03,5.083344E-01,8.367523E-01,7.452313E+03,4.149864E+03,2.574247E-01,3.701755E-01,7.452489E+03,4.457486E+03,2.574308E-01,3.976163E-01,5.879714E+03,8.802347E+03,2.031140E-01,7.851794E-01,1.315352E+04,8.801046E+03,4.543698E-01,7.850671E-01,7.318361E+03,4.684635E+03,2.527957E-01,4.178790E-01,2.226688E+03,8.327129E+03,7.692115E-02,7.427897E-01,5.088407E+03,1.673613E+03,1.757775E-01,1.492887E-01,1.019589E+03,3.800911E+02,3.522131E-02,3.390475E-02,7.781676E+02,1.969613E+02,2.688147E-02,1.756922E-02,1.230179E+04,1.088240E+04,4.249626E-01,9.707288E-01,8.935298E+03,9.113174E+03,3.086681E-01,8.129105E-01
01:15:00,8.090071E+03,1.373260E+03,2.794692E-01,1.224965E-01,3.996469E+03,8.336526E+02,1.380573E-01,7.436277E-02,1.048646E+03,1.578031E+02,3.622515E-02,1.407622E-02,4.746051E+02,2.214209E+03,1.639546E-02,1.975147E-01,4.089110E+02,1.207938E+02,1.412586E-02,1.077495E-02,5.602459E+02,1.724345E+02,1.935370E-02,1.538137E-02,6.327808E+02,2.613761E+02,2.185949E-02,2.331508E-02,1.363614E+03,3.250245E+02,4.710564E-02,2.899266E-02,1.126395E+04,5.330064E+03,3.891131E-01,4.754481E-01,8.224980E+03,4.538284E+03,2.841307E-01,4.048214E-01,1.756278E+04,2.637863E+03,6.067005E-01,2.353002E-01,3.825728E+03,9.233940E+02,1.321580E-01,8.236814E-02,3.003615E+03,3.642526E+02,1.037583E-01,3.249174E-02,1.472812E+04,9.310696E+03,5.087657E-01,8.305278E-01,7.457240E+03,4.113226E+03,2.575952E-01,3.669073E-01,7.457417E+03,4.420613E+03,2.576013E-01,3.943272E-01,5.896450E+03,8.724064E+03,2.036921E-01,7.781966E-01,1.316306E+04,8.731871E+03,4.546997E-01,7.788966E-01,7.322374E+03,4.647611E+03,2.529346E-01,4.145763E-01,2.243911E+03,8.259425E+03,7.751613E-02,7.367504E-01,5.091270E+03,1.655741E+03,1.758764E-01,1.476944E-01,1.020049E+03,3.764972E+02,3.523721E-02,3.358418E-02,7.784539E+02,1.942830E+02,2.689136E-02,1.733031E-02,1.231028E+04,1.083627E+04,4.252555E-01,9.666135E-01,8.940583E+03,9.076120E+03,3.088506E-01,8.096052E-01
01:30:00,8.093473E+03,1.350507E+03,2.795868E-01,1.204668E-01,3.998844E+03,8.237008E+02,1.381394E-01,7.347506E-02,1.048916E+03,1.548161E+02,3.623449E-02,1.380978E-02,4.749287E+02,2.209228E+03,1.640664E-02,1.970704E-01,4.094438E+02,1.196245E+02,1.414426E-02,1.067065E-02,5.607012E+02,1.707140E+02,1.936942E-02,1.522789E-02,6.337468E+02,2.596287E+02,2.189284E-02,2.315920E-02,1.364145E+03,3.209706E+02,4.712398E-02,2.863106E-02,1.126886E+04,5.300484E+03,3.892824E-01,4.728095E-01,8.225295E+03,4.513924E+03,2.841416E-01,4.026484E-01,1.757626E+04,2.562314E+03,6.071665E-01,2.285611E-01,3.827842E+03,9.070603E+02,1.322311E-01,8.091117E-02,3.004985E+03,3.526916E+02,1.038056E-01,3.146049E-02,1.473906E+04,9.243797E+03,5.091440E-01,8.245603E-01,7.461592E+03,4.078022E+03,2.577458E-01,3.637670E-01,7.461769E+03,4.385109E+03,2.577519E-01,3.911601E-01,5.911514E+03,8.650005E+03,2.042126E-01,7.715904E-01,1.317130E+04,8.665433E+03,4.549845E-01,7.729702E-01,7.325862E+03,4.611940E+03,2.530553E-01,4.113944E-01,2.259149E+03,8.195268E+03,7.804254E-02,7.310275E-01,5.093723E+03,1.638781E+03,1.759612E-01,1.461816E-01,1.020443E+03,3.730495E+02,3.525082E-02,3.327663E-02,7.786974E+02,1.917303E+02,2.689978E-02,1.710261E-02,1.231772E+04,1.079221E+04,4.255126E-01,9.626830E-01,8.945030E+03,9.040660E+03,3.090041E-01,8.064422E-01
01:45:00,8.096538E+03,1.328859E+03,2.796927E-01,1.185358E-01,4.001013E+03,8.142365E+02,1.382143E-01,7.263084E-02,1.049156E+03,1.519710E+02,3.624278E-02,1.355599E-02,4.752193E+02,2.204524E+03,1.641668E-02,1.966508E-01,4.099025E+02,1.185373E+02,1.416010E-02,1.057367E-02,5.610944E+02,1.690934E+02,1.938299E-02,1.508334E-02,6.345959E+02,2.579978E+02,2.192216E-02,2.301372E-02,1.364619E+03,3.170760E+02,4.714036E-02,2.828365E-02,1.127328E+04,5.271533E+03,3.894352E-01,4.702271E-01,8.225303E+03,4.489941E+03,2.841418E-01,4.005091E-01,1.758803E+04,2.491348E+03,6.075733E-01,2.222309E-01,3.829684E+03,8.915011E+02,1.322948E-01,7.952328E-02,3.006172E+03,3.417892E+02,1.038467E-01,3.048798E-02,1.474880E+04,9.179429E+03,5.094806E-01,8.188187E-01,7.465476E+03,4.044111E+03,2.578803E-01,3.607421E-01,7.465653E+03,4.350765E+03,2.578864E-01,3.880966E-01,5.925220E+03,8.579819E+03,2.046861E-01,7.653297E-01,1.317853E+04,8.601441E+03,4.552346E-01,7.672621E-01,7.328934E+03,4.577374E+03,2.531617E-01,4.083111E-01,2.272859E+03,8.134180E+03,7.851615E-02,7.255785E-01,5.095868E+03,1.622734E+03,1.760353E-01,1.447503E-01,1.020787E+03,3.697491E+02,3.526270E-02,3.298224E-02,7.789084E+02,1.893089E+02,2.690707E-02,1.688662E-02,1.232437E+04,1.074944E+04,4.257420E-01,9.588681E-01,8.948861E+03,9.006161E+03,3.091363E-01,8.033648E-01
02:00:00,8.099371E+03,1.308345E+03,2.797906E-01,1.167059E-01,4.003033E+03,8.052488E+02,1.382841E-01,7.182914E-02,1.049376E+03,1.492756E+02,3.625039E-02,1.331556E-02,4.754873E+02,2.199713E+03,1.642594E-02,1.962217E-01,4.103111E+02,1.175175E+02,1.417420E-02,1.048270E-02,5.614453E+02,1.675650E+02,1.939511E-02,1.494700E-02,6.353646E+02,2.564605E+02,2.194871E-02,2.287659E-02,1.365054E+03,3.133429E+02,4.715540E-02,2.795066E-02,1.127736E+04,5.243303E+03,3.895758E-01,4.677089E-01,8.225099E+03,4.466367E+03,2.841347E-01,3.984063E-01,1.759868E+04,2.424880E+03,6.079413E-01,2.163019E-01,3.831351E+03,8.767159E+02,1.323524E-01,7.820443E-02,3.007243E+03,3.315638E+02,1.038837E-01,2.957587E-02,1.475782E+04,9.117519E+03,5.097928E-01,8.132962E-01,7.469071E+03,4.011528E+03,2.580047E-01,3.578357E-01,7.469248E+03,4.317616E+03,2.580108E-01,3.851397E-01,5.938091E+03,8.513407E+03,2.051307E-01,7.594057E-01,1.318517E+04,8.539819E+03,4.554644E-01,7.617653E-01,7.331753E+03,4.543934E+03,2.532593E-01,4.053281E-01,2.285583E+03,8.075967E+03,7.895570E-02,7.203858E-01,5.097810E+03,1.607597E+03,1.761024E-01,1.434000E-01,1.021098E+03,3.665979E+02,3.527344E-02,3.270115E-02,7.790985E+02,1.870245E+02,2.691365E-02,1.668285E-02,1.233046E+04,1.070844E+04,4.259524E-01,9.552110E-01,8.952284E+03,8.972823E+03,3.092545E-01,8.003909E-01
02:15:00,8.102262E+03,1.289117E+03,2.798905E-01,1.149908E-01,4.005086E+03,7.968252E+02,1.383550E-01,7.107774E-02,1.049613E+03,1.467437E+02,3.625858E-02,1.308971E-02,4.757375E+02,2.195107E+03,1.643458E-02,1.958108E-01,4.106788E+02,1.165570E+02,1.418690E-02,1.039702E-02,5.617607E+02,1.661235E+02,1.940600E-02,1.481841E-02,6.360707E+02,2.550097E+02,2.197309E-02,2.274718E-02,1.365458E+03,3.097790E+02,4.716935E-02,2.763276E-02,1.128748E+04,5.218439E+03,3.899257E-01,4.654910E-01,8.232691E+03,4.447898E+03,2.843969E-01,3.967588E-01,1.760942E+04,2.362984E+03,6.083122E-01,2.107807E-01,3.832987E+03,8.627448E+02,1.324089E-01,7.695821E-02,3.008308E+03,3.219918E+02,1.039205E-01,2.872203E-02,1.477783E+04,9.057743E+03,5.104841E-01,8.079641E-01,7.474758E+03,3.980936E+03,2.582014E-01,3.551068E-01,7.474935E+03,4.284688E+03,2.582075E-01,3.822024E-01,5.958145E+03,8.450249E+03,2.058235E-01,7.537719E-01,1.320262E+04,8.483291E+03,4.560672E-01,7.567230E-01,7.337494E+03,4.510732E+03,2.534578E-01,4.023665E-01,2.309012E+03,8.023497E+03,7.976505E-02,7.157054E-01,5.099878E+03,1.593542E+03,1.761738E-01,1.421463E-01,1.021416E+03,3.636256E+02,3.528444E-02,3.243602E-02,7.792963E+02,1.848858E+02,2.692048E-02,1.649207E-02,1.234426E+04,1.067072E+04,4.264290E-01,9.518463E-01,8.964134E+03,8.943990E+03,3.096638E-01,7.978190E-01
02:30:00,8.104997E+03,1.271027E+03,2.799850E-01,1.133771E-01,4.007034E+03,7.888495E+02,1.384223E-01,7.036631E-02,1.049838E+03,1.443653E+02,3.626633E-02,1.287755E-02,4.759730E+02,2.190646E+03,1.644272E-02,1.954129E-01,4.110166E+02,1.156492E+02,1.419857E-02,1.031605E-02,5.620507E+02,1.647659E+02,1.941601E-02,1.469731E-02,6.367262E+02,2.536297E+02,2.199572E-02,2.262407E-02,1.365837E+03,3.063773E+02,4.718243E-02,2.732932E-02,1.129721E+04,5.194399E+03,3.902616E-01,4.633466E-01,8.239996E+03,4.429952E+03,2.846492E-01,3.951580E-01,1.761943E+04,2.305434E+03,6.086582E-01,2.056472E-01,3.834510E+03,8.495366E+02,1.324615E-01,7.578003E-02,3.009300E+03,3.130878E+02,1.039548E-01,2.792779E-02,1.479706E+04,9.000426E+03,5.111489E-01,8.028514E-01,7.480193E+03,3.951636E+03,2.583894E-01,3.524932E-01,7.480370E+03,4.253033E+03,2.583955E-01,3.793788E-01,5.977366E+03,8.390923E+03,2.064876E-01,7.484800E-01,1.321939E+04,8.429100E+03,4.566467E-01,7.518890E-01,7.342992E+03,4.478796E+03,2.536480E-01,3.995178E-01,2.331368E+03,7.974088E+03,8.053735E-02,7.112981E-01,5.101809E+03,1.580389E+03,1.762405E-01,1.409730E-01,1.021713E+03,3.608032E+02,3.529469E-02,3.218426E-02,7.794807E+02,1.828857E+02,2.692685E-02,1.631367E-02,1.235740E+04,1.063456E+04,4.268830E-01,9.486209E-01,8.975449E+03,8.916449E+03,3.100546E-01,7.953623E-01
