Date/Time,WALL_S:Surface Outside Face Sunlit Area [m2](Hourly),WALL_S:Surface Outside Face Sunlit Fraction [](Hourly),WALL_S:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_N:Surface Outside Face Sunlit Area [m2](Hourly),WALL_N:Surface Outside Face Sunlit Fraction [](Hourly),WALL_N:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_W:Surface Outside Face Sunlit Area [m2](Hourly),WALL_W:Surface Outside Face Sunlit Fraction [](Hourly),WALL_W:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_E:Surface Outside Face Sunlit Area [m2](Hourly),WALL_E:Surface Outside Face Sunlit Fraction [](Hourly),WALL_E:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ROOF:Surface Outside Face Sunlit Area [m2](Hourly),ROOF:Surface Outside Face Sunlit Fraction [](Hourly),ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_E1:Surface Outside Face Sunlit Area [m2](Hourly),WINDOW_E1:Surface Outside Face Sunlit Fraction [](Hourly),WINDOW_E1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_E1:Surface Window Transmitted Solar Radiation Rate [W](Hourly),WINDOW_E1:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),WINDOW_E1:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),WINDOW_E1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WINDOW_E1:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),WINDOW_E1:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),WINDOW_W1:Surface Outside Face Sunlit Area [m2](Hourly),WINDOW_W1:Surface Outside Face Sunlit Fraction [](Hourly),WINDOW_W1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_W1:Surface Window Transmitted Solar Radiation Rate [W](Hourly),WINDOW_W1:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),WINDOW_W1:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),WINDOW_W1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WINDOW_W1:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),WINDOW_W1:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE1:Zone Mean Air Temperature [C](Hourly),ZONE1:Zone Air System Sensible Heating Energy [J](Hourly),ZONE1:Zone Air System Sensible Cooling Energy [J](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6195953.638674262,0.0 
 01/01  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999999999999998,5937818.211780832,0.0 
 01/01  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5876190.684180869,0.0 
 01/01  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5860076.8529639099,0.0 
 01/01  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5841077.545696137,0.0 
 01/01  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5823468.051766514,0.0 
 01/01  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5490260.210647296,0.0 
 01/01  08:00:00,16.200000000000004,0.75,27.94454161096552,0.0,0.0,10.47787655404598,0.0,0.0,10.477876554045978,7.6499999999999999,0.7499999999999998,34.96870340881284,36.0,0.75,21.28967788716912,4.5,0.75,34.96870340881286,140.48877268915539,45.394689711253139,95.09408297790225,505759.5816809594,163420.8829605113,342338.69872044809,0.0,0.0,10.47787655404598,40.46557207083008,0.0,40.46557207083008,145676.05945498829,0.0,145676.05945498829,20.0,4998202.732543455,0.0 
 01/01  09:00:00,21.6,1.0,115.47058895630183,0.0,0.0,44.793975807424249,0.0,0.0,44.79397580742423,10.2,0.9999999999999997,121.41203021419804,48.0,1.0,96.95523105932236,6.0,1.0,121.41203021419807,485.25358515131208,166.49555298730614,318.7580321640059,1746912.9065447234,599383.990754302,1147528.9157904215,0.0,0.0,44.793975807424249,172.99438937123314,0.0,172.99438937123314,622779.8017364392,0.0,622779.8017364392,20.0,3795909.762601395,0.0 
 01/01  10:00:00,21.6,1.0,233.25254668363696,0.0,0.0,61.965361361569247,0.0,0.0,61.96536136156924,10.2,0.9999999999999997,170.09457502782937,48.0,1.0,160.78952649948583,6.0,1.0,170.09457502782943,644.8899822374314,286.4641559219724,358.42582631545897,2321603.936054753,1031270.9613191008,1290332.9747356524,0.0,0.0,61.965361361569247,239.310301389585,0.0,239.310301389585,861517.085002506,0.0,861517.085002506,20.0,2582060.429341396,0.0 
 01/01  11:00:00,21.6,1.0,793.7373053793676,0.0,0.0,83.91926025643756,0.0,0.0,83.91926025643753,10.2,0.9999999999999997,357.2042066410487,48.0,1.0,387.31353899532987,6.0,1.0,357.2042066410488,1118.0541262810787,662.4950285001021,455.5590977809767,4024994.8546118836,2384982.1026003675,1640012.7520115162,0.0,0.0,83.91926025643756,324.09628578095177,0.0,324.09628578095177,1166746.6288114265,0.0,1166746.6288114265,20.0,811523.5339749284,0.0 
 01/01  12:00:00,21.6,1.0,951.8006129584787,0.0,0.0,85.35121578415792,0.0,0.0,85.35121578415792,10.2,0.9999999999999997,184.04226536728124,48.0,1.0,477.27341316434549,6.0,1.0,184.04226536728127,456.6558362270433,101.53681811521393,355.1190181118294,1643961.0104173562,365532.5452147702,1278428.4652025859,0.0,0.0,85.35121578415792,329.6264997809265,0.0,329.6264997809265,1186655.3992113353,0.0,1186655.3992113353,20.0,217933.4360772451,0.0 
 01/01  13:00:00,21.6,1.0,926.3979173590676,0.0,0.0,70.6686357813885,10.2,0.9999999999999997,204.65765628609524,0.0,0.0,70.6686357813885,48.0,1.0,456.3795957600951,0.0,0.0,70.6686357813885,272.92235784690356,0.0,272.92235784690356,982520.4882488528,0.0,982520.4882488528,6.0,1.0,204.65765628609533,463.78392461350708,174.98643483006289,288.7974897834441,1669622.1286086254,629951.1653882265,1039670.9632203989,20.024524962641818,56074.028327157066,0.0 
