,Case640_AS140
anual_heating_load,2.69600400662986
anual_cooling_load,6.462039969719916
maximum_heating_load,6.368302739708499
maximum_cooling_load,6.506089036412277
solar_radiation_N,432.13421939075727
solar_radiation_E,1179.2604523596726
solar_radiation_W,1040.51813407968
solar_radiation_S,1544.978896673862
solar_radiation_H,1840.06074216252
solar_transitted,980.3664639077789
transmissivity_coefficient,0.6345500679772261
solar_radiation_March_5_south_0,0.0
solar_radiation_March_5_south_1,0.0
solar_radiation_March_5_south_2,0.0
solar_radiation_March_5_south_3,0.0
solar_radiation_March_5_south_4,0.0
solar_radiation_March_5_south_5,0.0
solar_radiation_March_5_south_6,4.139205883321934
solar_radiation_March_5_south_7,19.906615707371852
solar_radiation_March_5_south_8,35.47891943391977
solar_radiation_March_5_south_9,48.98374361706611
solar_radiation_March_5_south_10,58.449624348728605
solar_radiation_March_5_south_11,63.72758371379906
solar_radiation_March_5_south_12,63.46918981943036
solar_radiation_March_5_south_13,57.16388962970594
solar_radiation_March_5_south_14,46.14035878112124
solar_radiation_March_5_south_15,31.726053230763547
solar_radiation_March_5_south_16,15.642315521327458
solar_radiation_March_5_south_17,2.6701979412288
solar_radiation_March_5_south_18,0.0
solar_radiation_March_5_south_19,0.0
solar_radiation_March_5_south_20,0.0
solar_radiation_March_5_south_21,0.0
solar_radiation_March_5_south_22,0.0
solar_radiation_March_5_south_23,0.0
solar_radiation_March_5_west_0,0.0
solar_radiation_March_5_west_1,0.0
solar_radiation_March_5_west_2,0.0
solar_radiation_March_5_west_3,0.0
solar_radiation_March_5_west_4,0.0
solar_radiation_March_5_west_5,0.0
solar_radiation_March_5_west_6,4.100716460367501
solar_radiation_March_5_west_7,19.537116050247135
solar_radiation_March_5_west_8,34.579912168593296
solar_radiation_March_5_west_9,47.82120129967946
solar_radiation_March_5_west_10,56.97293612278223
solar_radiation_March_5_west_11,61.32774969886978
solar_radiation_March_5_west_12,61.4274690855735
solar_radiation_March_5_west_13,56.27622049586508
solar_radiation_March_5_west_14,46.126684198485
solar_radiation_March_5_west_15,32.25011047076452
solar_radiation_March_5_west_16,16.12359933821004
solar_radiation_March_5_west_17,2.7155242506330257
solar_radiation_March_5_west_18,0.0
solar_radiation_March_5_west_19,0.0
solar_radiation_March_5_west_20,0.0
solar_radiation_March_5_west_21,0.0
solar_radiation_March_5_west_22,0.0
solar_radiation_March_5_west_23,0.0
solar_radiation_July_27_south_0,0.0
solar_radiation_July_27_south_1,0.0
solar_radiation_July_27_south_2,0.0
solar_radiation_July_27_south_3,0.0
solar_radiation_July_27_south_4,2.8637133784777102
solar_radiation_July_27_south_5,35.65719261662521
solar_radiation_July_27_south_6,90.29256060623275
solar_radiation_July_27_south_7,136.1384494670678
solar_radiation_July_27_south_8,256.0580480539545
solar_radiation_July_27_south_9,377.0923825408682
solar_radiation_July_27_south_10,449.955526625703
solar_radiation_July_27_south_11,468.9700317127033
solar_radiation_July_27_south_12,458.4652235938679
solar_radiation_July_27_south_13,395.7751632343011
solar_radiation_July_27_south_14,298.2775405350967
solar_radiation_July_27_south_15,170.25919048004977
solar_radiation_July_27_south_16,80.37041320136447
solar_radiation_July_27_south_17,52.38697116258881
solar_radiation_July_27_south_18,15.185447700664072
solar_radiation_July_27_south_19,0.0
solar_radiation_July_27_south_20,0.0
solar_radiation_July_27_south_21,0.0
solar_radiation_July_27_south_22,0.0
solar_radiation_July_27_south_23,0.0
solar_radiation_July_27_west_0,0.0
solar_radiation_July_27_west_1,0.0
solar_radiation_July_27_west_2,0.0
solar_radiation_July_27_west_3,0.0
solar_radiation_July_27_west_4,2.8637133784777102
solar_radiation_July_27_west_5,35.65719261662521
solar_radiation_July_27_west_6,90.29256060623275
solar_radiation_July_27_west_7,128.82292842153294
solar_radiation_July_27_west_8,146.384406923434
solar_radiation_July_27_west_9,152.71793835914045
solar_radiation_July_27_west_10,149.82549640042092
solar_radiation_July_27_west_11,142.65801884241105
solar_radiation_July_27_west_12,257.3999731092064
solar_radiation_July_27_west_13,457.00809230009486
solar_radiation_July_27_west_14,616.3624502770396
solar_radiation_July_27_west_15,668.5249818377827
solar_radiation_July_27_west_16,511.0446320463621
solar_radiation_July_27_west_17,163.21927401853497
solar_radiation_July_27_west_18,26.890184979785424
solar_radiation_July_27_west_19,0.0
solar_radiation_July_27_west_20,0.0
solar_radiation_July_27_west_21,0.0
solar_radiation_July_27_west_22,0.0
solar_radiation_July_27_west_23,0.0
hourly_heatload_winter_0,1.429808270562937
hourly_heatload_winter_1,2.1166171308218664
hourly_heatload_winter_2,2.454691250671081
hourly_heatload_winter_3,2.618202366704749
hourly_heatload_winter_4,2.705998910389186
hourly_heatload_winter_5,2.74620897181058
hourly_heatload_winter_6,2.771928415747629
hourly_heatload_winter_7,6.368302739708499
hourly_heatload_winter_8,3.1158627994719956
hourly_heatload_winter_9,1.0191255644430681
hourly_heatload_winter_10,-0.016887888191306905
hourly_heatload_winter_11,-1.6620686753995717
hourly_heatload_winter_12,-3.231786941972258
hourly_heatload_winter_13,-3.5684894496470734
hourly_heatload_winter_14,-2.9443721191211565
hourly_heatload_winter_15,-1.4650725129792308
hourly_heatload_winter_16,-0.01937453848348377
hourly_heatload_winter_17,0.4261154508931327
hourly_heatload_winter_18,1.831257707024935
hourly_heatload_winter_19,2.573355264938772
hourly_heatload_winter_20,2.9783615235030245
hourly_heatload_winter_21,3.189250831953839
hourly_heatload_winter_22,3.2471473011649
hourly_heatload_winter_23,0.1551080520679247
